SubawardReportYear,Customer,SubCustomer,CanadaSector,SubawardAmount,NumberOfContracts
2013,DHS,COAST GUARD,Other Services,2895699.1055,4
2016,Other Agencies,BROADCASTING BOARD OF GOVERNORS,NULL,141746.4844,1
2016,NULL,NULL,NULL,5592163.6778,11
2016,Other Agencies,Archives,NULL,4152629.8984,3
2012,Defense,MDA,C4ISR,82673520.5666,9
2013,HHS,HHS,Other R&D and Knowledge Based,1419087732.4128,250
2016,Defense,Army,Sea,2537992.4062,1
2015,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",3901775850.7264,45
2015,Other Agencies,Justice,Other Services,49000.0000,1
2016,State and IAP,State,NULL,8958197.2774,24
2012,Defense,MilitaryHealth,Other Services,754783870.0000,1
2015,Defense,Navy,"Weapons, Ammunition and Missiles",15509444803.7998,74
2013,Defense,Army,Other Products,68558235.7071,15
2011,Other Agencies,Labor,C4ISR,9135075.7032,17
2016,Defense,DLA,Sea,876395.1004,3
2015,HHS,HHS,Other R&D and Knowledge Based,701831669.2636,349
2011,Other Agencies,Exec Office,C4ISR,202944.0391,1
2010,Other Agencies,Justice,Other R&D and Knowledge Based,730162.0000,1
2011,Defense,Air Force,"Weapons, Ammunition and Missiles",10086327.1600,19
2016,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,36531980.3334,2
2014,Other Agencies,Treasury,C4ISR,830404301.9555,62
2014,State and IAP,State,NULL,1428424.1196,5
2011,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",188510165.2061,7
2013,State and IAP,USAID,Other Services,204293.0000,1
2016,DHS,TSA,NULL,152551592.4866,6
2013,NASA,NASA,"Weapons, Ammunition and Missiles",44241216.0000,1
2016,DHS,OPO,"Weapons, Ammunition and Missiles",250000.0000,1
2013,DHS,COAST GUARD,Other R&D and Knowledge Based,5540102.7696,14
2015,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,449560.0000,1
2014,Defense,Air Force,C4ISR,1498667641.7748,382
2015,Other Agencies,Interior,Other Products,876941.7813,2
2015,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",22650333.0000,2
2013,Other Agencies,NULL,Air,120000.0000,1
2012,DHS,ICE,C4ISR,2800897.4667,5
2010,Defense,Other DoD,Other R&D and Knowledge Based,208457134.9375,21
2015,Other Agencies,EPA,NULL,1112139.4218,4
2016,Other Agencies,VA,Other Products,14590372.6817,18
2016,Other Agencies,Commerce,Other R&D and Knowledge Based,7363742.4064,5
2014,Defense,MDA,Space,68916.1563,1
2011,DHS,Other DHS,C4ISR,17998139.6173,6
2016,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",-4316528.7128,15
2010,Defense,Navy,"Weapons, Ammunition and Missiles",37480059.5139,2
2008,Defense,Army,NULL,6500000.0000,1
2014,Defense,Other DoD,Other R&D and Knowledge Based,557079708.0977,194
2015,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",192261.5976,2
2015,Defense,MDA,C4ISR,58111409.4102,7
2016,Other Agencies,INTERNATIONAL TRADE COMMISSION,NULL,136799.6562,1
2013,Other Agencies,Interior,NULL,101100.3984,1
2015,Other Agencies,Comptroller,Other R&D and Knowledge Based,292500.0000,2
2011,Defense,Navy,"Weapons, Ammunition and Missiles",562252612.2366,17
2014,Other Agencies,Treasury,Other R&D and Knowledge Based,35886708.2325,22
2015,DHS,FEMA,Other Services,0.0200,1
2013,Defense,DLA,NULL,575900.7910,7
2011,Defense,Air Force,Other Products,4553909.6640,23
2011,Other Agencies,VA,Other Products,13314945.9846,75
2015,State and IAP,State,NULL,254829.0000,3
2013,DHS,CBP,Air,115000.0000,1
2011,HHS,HHS,C4ISR,32899902.6925,56
2014,Defense,MDA,"Weapons, Ammunition and Missiles",2262771281.0743,14
2014,DHS,COAST GUARD,Other Services,966240.1250,2
2016,Defense,Other DoD,Other Services,117398485.7287,63
2016,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",3130128.8204,5
2014,Defense,Army,Other Products,194102.2578,3
2016,State and IAP,USAID,NULL,17214148.3280,10
2012,Other Agencies,Labor,C4ISR,4733037.2969,9
2015,Defense,Other DoD,Other R&D and Knowledge Based,818904780.5278,167
2012,Defense,Other DoD,C4ISR,1133262603.8351,160
2013,Other Agencies,Agriculture,Other R&D and Knowledge Based,3842327.7032,12
2010,Other Agencies,Agriculture,C4ISR,2145343.1250,1
2012,Defense,Other DoD,Sea,406914.0000,3
2009,GSA,GSA,C4ISR,6000000.0000,1
2012,Other Agencies,FEDERAL TRADE COMMISSION,Other Services,719000.0000,1
2015,Defense,MilitaryHealth,Other Services,5417489.0000,1
2010,Other Agencies,Interior,Other R&D and Knowledge Based,27949.5000,1
2014,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,90383335.0000,5
2011,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,69852.3984,2
2012,Other Agencies,NATIONAL GALLERY OF ART,Other R&D and Knowledge Based,4713145.0000,1
2013,DHS,FEMA,C4ISR,217798.0000,3
2014,Other Agencies,Justice,NULL,5227358.9691,4
2012,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",42036995.6484,4
2013,Defense,Army,NULL,71559638.8169,15
2016,Defense,Air Force,Land,35000.0000,1
2007,Defense,Navy,Other R&D and Knowledge Based,69500000.0000,6
2009,Defense,Air Force,C4ISR,358533.9766,2
2010,Defense,DLA,Other Products,545446.4102,1
2010,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",1938633.0000,1
2011,Defense,Navy,C4ISR,651135459.8570,348
2011,Other Agencies,Education,C4ISR,2898390.6289,3
2010,Other Agencies,Education,Other R&D and Knowledge Based,2785453.5000,2
2013,NASA,NASA,C4ISR,1334066990.1808,30
2014,HHS,HHS,Other R&D and Knowledge Based,577744681.7906,289
2014,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,67055.6562,1
2012,Defense,Army,C4ISR,1465689757.2378,365
2013,Other Agencies,Treasury,C4ISR,46655455.9835,49
2015,Defense,Army,Land,2006476020.0975,63
2016,Other Agencies,All other Customers,NULL,10539976.7959,21
2016,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",403267456.3437,26
2010,Defense,Navy,NULL,73575932.0000,3
2011,NASA,NASA,Other R&D and Knowledge Based,15767334.9042,9
2015,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,1697000.0000,2
2016,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4783168.1018,11
2013,Defense,Air Force,Land,286224909.9394,4
2013,Other Agencies,Education,"Other Facilities, Construction, Manufacturing and Testing",1045295.0000,1
2014,Energy,Energy,Other Services,1990000.0000,1
2015,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",44310514.6035,28
2014,Defense,Air Force,Other Products,1897909.1953,2
2014,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",358453492.1207,12
2011,DHS,CBP,C4ISR,19144756.9375,2
2016,DHS,OPO,Other R&D and Knowledge Based,46501561.7717,63
2015,HHS,HHS,C4ISR,1339597636.5367,124
2014,Defense,Army,Air,842693392.4045,182
2013,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",1170615.1035,1
2014,Defense,Other DoD,"Weapons, Ammunition and Missiles",5323502.9924,9
2013,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,982678.8126,1
2012,State and IAP,State,Other Products,96086.3614,2
2011,Other Agencies,Archives,C4ISR,64242.4102,2
2014,Other Agencies,VA,C4ISR,326909120.6195,70
2011,Other Agencies,Exec Office,Other R&D and Knowledge Based,53700.0000,1
2016,GSA,GSA,C4ISR,520997520.1622,34
2010,Defense,MilitaryHealth,Other R&D and Knowledge Based,1716250.0000,1
2014,Other Agencies,Interior,C4ISR,52161982.3662,28
2015,Defense,MDA,Land,2155404.3907,6
2016,DHS,COAST GUARD,Sea,554875.4610,2
2011,Other Agencies,HUD,Other R&D and Knowledge Based,2068210.8047,3
2015,Defense,Air Force,Other R&D and Knowledge Based,1082527629.9765,368
2015,Defense,Army,NULL,1077797080.9233,36
2014,Other Agencies,Education,C4ISR,63062514.2247,18
2014,GSA,GSA,Other Services,25911581.6487,27
2011,Defense,Air Force,NULL,210210.2422,3
2015,DHS,COAST GUARD,Air,3707220.0000,1
2015,Defense,Navy,C4ISR,5569752257.1241,999
2015,Defense,MDA,NULL,373404.0000,1
2013,Defense,Other DoD,Air,31151506.3744,48
2010,Defense,Army,"Weapons, Ammunition and Missiles",10746643.1953,6
2012,Defense,Army,Space,6466974.4746,1
2015,Defense,DLA,NULL,36666010.8546,179
2015,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",2239543.0000,6
2015,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",4194915.7622,2
2015,Other Agencies,All other Customers,Other Products,177684.5156,1
2011,Defense,Other DoD,C4ISR,206454397.2683,151
2011,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,132800.0000,1
2013,HHS,HHS,C4ISR,1426053870.4613,78
2015,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",34709008.8750,68
2011,GSA,GSA,Other R&D and Knowledge Based,311406685.6609,19
2012,Other Agencies,EPA,Other Services,26500.0000,1
2012,State and IAP,USAID,Other Services,108230.6406,1
2014,DHS,COAST GUARD,Sea,1294092.5196,2
2015,Defense,DLA,Land,9154346.0049,68
2013,Other Agencies,Justice,NULL,148047.1250,1
2010,Other Agencies,EPA,Other R&D and Knowledge Based,419195.0000,2
2015,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",20951679.1369,36
2012,DHS,ICE,Other Products,116160.0000,1
2009,Defense,Navy,NULL,1000000.0000,1
2009,Defense,Navy,Other R&D and Knowledge Based,37360127.0000,9
2012,Other Agencies,Labor,Other R&D and Knowledge Based,9834447.5156,13
2015,DHS,TSA,Other Services,1079238.3752,3
2014,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",729104.0000,3
2012,Defense,Air Force,Land,1175970.1914,16
2013,Other Agencies,NATIONAL GALLERY OF ART,C4ISR,27290.7598,1
2014,Defense,Air Force,NULL,595200.5586,3
2015,DHS,CBP,Air,62000.0000,1
2016,Defense,Other DoD,Land,460230.3204,1
2014,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,6351965.0000,2
2011,State and IAP,State,Other Products,149226.0000,1
2010,NASA,NASA,Other R&D and Knowledge Based,23855426.0000,1
2015,Defense,Army,Air,1312727587.0918,143
2015,DHS,OPO,Other R&D and Knowledge Based,38152744.0979,80
2014,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",37711687.6217,53
2015,Defense,Other DoD,NULL,9188842.5940,9
2006,Defense,Army,C4ISR,611991630.1289,10
2013,DHS,TSA,Other Services,592010.7500,2
2015,Other Agencies,Agriculture,NULL,599461.7814,2
2013,Other Agencies,Education,C4ISR,6410417.0938,6
2015,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",45969866.9806,10
2014,Defense,Air Force,Other R&D and Knowledge Based,774622067.7234,290
2015,Defense,DLA,Other Products,301903329.9352,1210
2012,Other Agencies,Treasury,Other Services,1902721.9063,1
2015,Defense,Army,Other Products,79771010.2783,12
2015,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",275378405.0838,12
2011,Defense,MilitaryHealth,Other R&D and Knowledge Based,72693.0000,1
2015,DHS,COAST GUARD,Sea,582859.5763,5
2013,DHS,TSA,C4ISR,7131323.3008,4
2015,GSA,GSA,C4ISR,508096319.6894,71
2012,NASA,NASA,Other Services,25193.1406,1
2013,Other Agencies,Transportation,NULL,254280.0000,2
2012,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",80561.0000,1
2014,Defense,Army,Land,1829884178.6026,96
2011,Defense,Army,"Weapons, Ammunition and Missiles",225748220.4247,18
2012,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",26391308.4318,44
2014,Defense,Navy,C4ISR,2601970456.5732,985
2013,State and IAP,State,Other Products,219956.0000,1
2010,Defense,Other DoD,C4ISR,23640853.4844,12
2014,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",8266063.6876,3
2016,Defense,Army,Other R&D and Knowledge Based,421166112.2277,229
2015,Other Agencies,VA,Other Services,1901536.5000,3
2016,Defense,MilitaryHealth,C4ISR,3905897.8300,4
2015,Other Agencies,Transportation,Other R&D and Knowledge Based,59186896.3965,82
2013,DHS,ICE,Other R&D and Knowledge Based,3260686.4727,7
2016,HHS,HHS,Other Services,31868132.0000,14
2016,Defense,DLA,Other R&D and Knowledge Based,12273177.2708,4
2010,GSA,GSA,Other R&D and Knowledge Based,1849135.0000,3
2013,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",17372286.3086,14
2011,Defense,DLA,"Weapons, Ammunition and Missiles",2544776.6529,17
2011,DHS,Other DHS,Other R&D and Knowledge Based,1134256.8750,1
2014,DHS,FEMA,Other R&D and Knowledge Based,19039640.1898,12
2012,NASA,NASA,Other R&D and Knowledge Based,33705378.8108,21
2016,Defense,Navy,Other Services,23406330.9381,6
2013,Other Agencies,VA,C4ISR,70158679.0942,58
2016,State and IAP,NULL,Other R&D and Knowledge Based,346966.0000,1
2010,DHS,CBP,C4ISR,30352802.0000,1
2013,Other Agencies,Interior,C4ISR,29352152.2246,11
2013,Other Agencies,EPA,C4ISR,72121646.5449,8
2014,Defense,DLA,Land,24381336.4787,90
2014,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",83211780.7518,90
2014,Defense,MDA,Land,103857.7188,1
2016,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,416833.4688,3
2014,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",35578668.3281,15
2014,Other Agencies,EPA,C4ISR,77865121.0143,21
2012,Other Agencies,Education,C4ISR,21250846.6875,7
2014,DHS,TSA,Other Services,365000.0000,1
2016,Other Agencies,Agriculture,NULL,12451566.3360,7
2012,Other Agencies,Interior,C4ISR,4017164.9239,13
2013,State and IAP,State,NULL,-13322.5298,1
2016,Other Agencies,Transportation,Other R&D and Knowledge Based,114174682.2708,47
2014,Defense,DLA,Other Products,7528583273.9380,1773
2013,Other Agencies,VA,Land,116400.0000,1
2013,Other Agencies,Interior,Other Products,624310.0000,1
2013,Defense,Air Force,"Weapons, Ammunition and Missiles",311547982.9567,57
2012,Other Agencies,Comptroller,Other R&D and Knowledge Based,300000.0000,1
2011,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",147333.0000,2
2015,Defense,Navy,NULL,877989453.9604,93
2011,Defense,Navy,Sea,43042783.6124,52
2010,NASA,NASA,Space,979069.0000,3
2013,Energy,Energy,Other Products,25492.6504,1
2013,Other Agencies,Interior,Other R&D and Knowledge Based,12405569.0762,47
2012,Other Agencies,Justice,Other Services,12726713.0000,1
2016,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",9128665.5040,18
2011,Other Agencies,Interior,NULL,1141203.7109,6
2014,NASA,NASA,"Weapons, Ammunition and Missiles",50213910.7607,6
2012,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",2129720.8869,12
2013,Other Agencies,Justice,C4ISR,67561161.8399,25
2015,Defense,Air Force,Space,29974995.9731,5
2014,GSA,GSA,Air,39359.8594,1
2008,Defense,Navy,C4ISR,28798487.4688,5
2016,Other Agencies,EPA,NULL,414539421.6340,30
2014,Other Agencies,Agriculture,C4ISR,396299974.6079,44
2011,Defense,Other DoD,Other R&D and Knowledge Based,188868629.8250,105
2014,DHS,COAST GUARD,Other R&D and Knowledge Based,419588.0000,2
2011,DHS,ICE,C4ISR,1531706.2188,4
2013,Defense,Air Force,C4ISR,5168883691.7823,436
2015,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,NULL,2030891.5000,1
2014,Other Agencies,VA,NULL,9500000.0000,1
2015,Other Agencies,Transportation,C4ISR,22705664.3167,19
2013,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",32000.0000,1
2011,DHS,CBP,Other R&D and Knowledge Based,33299.8398,1
2012,DHS,ICE,"Weapons, Ammunition and Missiles",149394.8008,2
2014,Other Agencies,Interior,Other R&D and Knowledge Based,25600395.3613,71
2016,GSA,GSA,Other R&D and Knowledge Based,1107813137.9020,18
2015,Other Agencies,Commerce,Other R&D and Knowledge Based,19576900.3908,26
2010,DHS,Other DHS,C4ISR,5918025.9063,1
2016,Defense,DLA,C4ISR,126596250.0028,57
2015,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",4918524.3672,3
2012,Other Agencies,Interior,NULL,308907.9496,4
2014,Other Agencies,All other Customers,C4ISR,480928794.2203,55
2013,Other Agencies,VA,NULL,11684556.3403,4
2014,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,4557617.1250,2
2015,Defense,Other DoD,"Weapons, Ammunition and Missiles",27938567.7697,14
2014,Defense,Navy,NULL,146613011.3593,7
2011,HHS,HHS,Other Products,1170517.0000,2
2011,GSA,GSA,C4ISR,159650926.6382,36
2016,State and IAP,USAID,Other Services,32045114.7815,3
2015,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,65776888.0315,6
2015,Other Agencies,Interior,Other Services,30000.0000,1
2014,Other Agencies,FEDERAL ELECTION COMMISSION,C4ISR,12342124.0000,1
2014,NASA,NASA,Other R&D and Knowledge Based,1924931595.7536,36
2014,Other Agencies,HUD,C4ISR,4326399.0000,2
2014,Defense,Other DoD,C4ISR,1615122212.8935,324
2011,Other Agencies,Agriculture,Other R&D and Knowledge Based,18394957.4922,7
2013,Other Agencies,Labor,Other R&D and Knowledge Based,16109786.3320,24
2012,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",67151.1392,2
2014,GSA,GSA,Other R&D and Knowledge Based,246681438.4290,44
2016,Defense,Other DoD,Air,55445992.1256,31
2015,NASA,NASA,Space,12795051634.6025,61
2015,Defense,Navy,Space,317203118.6747,9
2016,DHS,COAST GUARD,Other Services,3889391.4063,2
2010,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",13846971.9843,9
2011,Defense,DLA,Air,10058643.5643,102
2013,Defense,Navy,C4ISR,906251565.4140,812
2011,Defense,Army,NULL,2005136.0000,1
2009,HHS,HHS,C4ISR,78240.0000,1
2010,Defense,Air Force,Other Services,23193321.0001,2
2016,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",4633850.9230,7
2014,State and IAP,State,Other Products,28841.0000,1
2015,Energy,Energy,Other Services,3035980.0000,1
2013,Defense,MilitaryHealth,Other Services,7165125.5000,1
2012,Other Agencies,Exec Office,C4ISR,851296.0704,2
2016,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,39656319.0000,5
2016,Other Agencies,Archives,C4ISR,795164.5001,2
2010,Defense,DLA,Land,177834.0000,1
2014,DHS,COAST GUARD,Air,79190.7969,1
2015,NASA,NASA,C4ISR,343699266.4840,32
2010,Other Agencies,VA,Other R&D and Knowledge Based,8565001.5938,3
2006,Defense,Army,Other R&D and Knowledge Based,33156004.0000,1
2011,Defense,MDA,C4ISR,14726763.2971,7
2012,GSA,GSA,NULL,38830.0000,2
2016,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",2729123892.8039,286
2013,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,79121.0000,1
2015,DHS,OPO,C4ISR,10308301.7222,26
2012,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",232687907.2871,13
2016,Other Agencies,Labor,NULL,33184766.6562,12
2014,Defense,Navy,"Weapons, Ammunition and Missiles",6795247065.3500,50
2013,Defense,Air Force,Space,17890220.5195,3
2016,NASA,NASA,"Weapons, Ammunition and Missiles",4099258.0000,2
2015,Defense,Army,"Weapons, Ammunition and Missiles",7800238516.0111,71
2016,Defense,Navy,Sea,791212536.3492,86
2010,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,270000.0000,1
2015,State and IAP,OVERSEAS PRIVATE INVESTMENT CORPORATION,Other R&D and Knowledge Based,367500.0000,1
2012,HHS,HHS,Other R&D and Knowledge Based,587296868.4738,198
2013,Other Agencies,EPA,Other R&D and Knowledge Based,6132108.2373,41
2010,DHS,CBP,Other R&D and Knowledge Based,264998.3984,1
2011,Other Agencies,Justice,Other R&D and Knowledge Based,13154135.2500,6
2012,Defense,Air Force,"Weapons, Ammunition and Missiles",116624183.6311,33
2014,DHS,TSA,Other R&D and Knowledge Based,7247096.0704,2
2016,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",866040317.5666,19
2016,Other Agencies,Treasury,NULL,5997968.3908,6
