fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
2005,U,Unlabeled Vendor,Name,1,0,0,20,2,25,60887.6997
1993,M,Medium Vendor,PDuns,NULL,0,1,66,66,3,1223544.0000
2009,M,Medium Vendor,PDuns,1,0,0,884,886,2603,1803588.4204
1997,S,Always Small Vendor,PDuns,NULL,1,1,16912,17274,60055,11307706646.0000
2016,S,Always Small Vendor,PDuns,NULL,0,1,69,69,0,47038.9999
2014,U,Unlabeled Vendor,Name,0,1,1,1,1,NULL,0.0000
2005,S,Always Small Vendor,PDuns,0,0,1,35104,35231,205101,952051385.3096
2005,S,Always Small Vendor,Duns,1,0,0,4,2,4,616.8000
2004,M,Medium Vendor,PID,NULL,0,1,1,1,0,0.0000
1997,N,Sometimes Small Vendor,PDuns,NULL,1,1,2629,4614,47293,8636136246.0000
1999,N,Sometimes Small Vendor,PID,NULL,0,1,1,1,2,52000.0000
2005,S,Always Small Vendor,PID,NULL,0,1,5,5,9,36862.1500
1994,L,Large Vendor,PDuns,NULL,1,1,31,162,2146,709993183.0000
2012,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,2,0,0.0000
2010,L,Large Vendor,PID,NULL,1,1,2,2,0,0.0000
2004,S,Always Small Vendor,PID,0,0,1,48,48,156,964434.6040
1994,L,Large Vendor,PID,NULL,1,1,134,134,36122,40489848594.0000
2012,N,Sometimes Small Vendor,PDuns,0,0,0,361,367,2011,1494066.8280
2006,S,Always Small Vendor,PID,0,1,1,452,452,15605,3260996207.6895
2002,S,Always Small Vendor,PDuns,NULL,1,1,1601,1601,49,21624681.9189
2014,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2003,U,Unlabeled Vendor,Duns,0,0,1,5,1,6,13874.0000
2003,S,Always Small Vendor,Duns,0,0,1,6,2,8,59224.0000
2011,S,Always Small Vendor,PID,NULL,0,0,6,6,0,0.0000
1999,L,Large Vendor,PDuns,NULL,1,1,47,142,1446,349131588.0000
2008,N,Sometimes Small Vendor,PDuns,0,0,0,1287,1319,30282,12061753.2923
2014,J,Large: Big 5 JV,PDuns,0,1,1,1,4,43,-8950183.7800
2008,L,Large Vendor,Duns,1,1,1,1,3,12,194930.2998
2001,B,Big Five,PID,0,1,1,5,5,29719,50568366785.0459
2006,M,Medium Vendor,PDuns,0,0,0,4078,4126,14530,25021841.0374
1988,M,Medium Vendor,PDuns,NULL,0,0,3,3,NULL,-138330.0000
2005,M,Medium Vendor,PID,NULL,0,0,7,7,2,3359.0000
2015,S,Always Small Vendor,PDuns,0,0,1,18863,18899,63303,183101675.0400
2000,S,Always Small Vendor,PID,1,0,1,1,1,1,13000.0000
2003,M,Medium Vendor,PDuns,0,1,1,9291,10106,82080,15238517179.5672
2002,M,Medium Vendor,PID,NULL,0,0,2,2,0,0.0000
2005,M,Medium Vendor,PDuns,NULL,1,1,765,766,692,161362635.4606
2015,M,Medium Vendor,PID,1,1,1,93,93,42462,1713514005.5300
2009,S,Always Small Vendor,PID,0,1,1,352,352,32699,3225319658.6345
2012,S,Always Small Vendor,Duns,0,0,0,2,2,2,7644.0000
2006,S,Always Small Vendor,PDuns,NULL,0,0,3723,3724,1616,1906483.1309
2015,M,Medium Vendor,PDuns,NULL,0,0,659,660,2,-22414.6800
2001,S,Always Small Vendor,PDuns,1,0,0,3,3,3,-22039.0000
2013,S,Always Small Vendor,PDuns,0,0,0,8438,8446,19667,-8728971.3200
2000,N,Sometimes Small Vendor,PDuns,0,1,1,4058,5595,95435,16190350573.3193
2014,L,Large Vendor,PDuns,0,1,1,116,808,14222,2699730958.8300
2008,S,Always Small Vendor,PID,NULL,1,1,17,17,0,645438.0704
2007,L,Large Vendor,PID,NULL,1,1,1,1,0,0.0000
2005,S,Always Small Vendor,PID,0,0,0,29,29,88,88433.2477
1999,N,Sometimes Small Vendor,PDuns,NULL,1,1,2266,3966,43806,7916903084.0000
1997,M,Medium Vendor,PID,NULL,1,1,400,400,9166,6722879858.0000
2008,M,Medium Vendor,PDuns,NULL,0,0,477,478,11,166380.7300
2000,J,Large: Big 5 JV,PID,0,1,1,5,5,93,1299583880.0000
2013,L,Large Vendor,PDuns,0,0,1,1,1,3,22830.0000
2004,B,Big Five,PID,0,1,1,5,5,51001,80189089447.0155
1997,B,Big Five,PDuns,NULL,1,1,4,26,185,56502780.0000
2013,S,Always Small Vendor,Duns,NULL,1,1,1,1,0,12000.0000
2012,S,Always Small Vendor,PDuns,NULL,0,1,187,187,0,778472.9867
2003,S,Always Small Vendor,PID,1,0,1,3,3,5,48466.0000
1998,M,Medium Vendor,PID,NULL,1,1,434,434,10686,7656185582.0000
2000,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2003,N,Sometimes Small Vendor,PID,0,0,1,17,17,146,916195.0000
2011,M,Medium Vendor,PID,NULL,0,0,1,1,0,0.0000
2007,N,Sometimes Small Vendor,PDuns,0,0,0,1351,1391,35534,16083697.4588
2004,S,Always Small Vendor,Duns,1,0,1,4,1,4,31845.2901
2012,S,Always Small Vendor,PID,NULL,0,0,6,6,0,0.0000
2013,S,Always Small Vendor,PDuns,NULL,0,1,136,136,0,-492865.1300
2011,S,Always Small Vendor,PID,0,1,1,307,307,36234,3436615940.7624
2012,B,Big Five,PDuns,0,1,1,5,13,195,5319859.1136
2003,N,Sometimes Small Vendor,PDuns,1,0,1,5,5,11,270774.0000
2005,S,Always Small Vendor,Name,0,0,1,237,3,420,1631276.3897
1991,L,Large Vendor,PDuns,NULL,1,1,38,145,2,544358040.0000
2004,S,Always Small Vendor,PDuns,1,0,0,61,61,80,60549.7301
2001,L,Large Vendor,PID,0,0,0,1,1,1,-1000.0000
2001,N,Sometimes Small Vendor,PDuns,0,0,1,245,266,1136,20918927.6709
2004,M,Medium Vendor,PID,0,0,0,18,18,40,17850.0002
1995,M,Medium Vendor,PID,NULL,0,0,1,1,1,59222.0000
2010,S,Always Small Vendor,PDuns,1,0,0,56,56,68,-68991.1300
1991,L,Large Vendor,PID,NULL,1,1,110,110,2,47871034037.0000
2012,U,Unlabeled Vendor,Duns,1,1,1,2,1,5,4209114.8604
2016,S,Always Small Vendor,PDuns,0,0,0,5678,5684,26200,-1615863.5338
2013,U,Unlabeled Vendor,Duns,0,1,1,3,2,4,960071.7900
2010,N,Sometimes Small Vendor,PDuns,1,0,1,42,42,213,669185.9382
2010,U,Unlabeled Vendor,Duns,1,0,1,1,1,1,-6714.2998
1997,L,Large Vendor,PID,NULL,1,1,181,181,52964,29670550355.0000
2004,S,Always Small Vendor,PDuns,0,1,1,41806,42256,433905,28635093775.5324
2001,M,Medium Vendor,PID,0,1,1,511,511,15726,16625211253.7793
2008,N,Sometimes Small Vendor,PID,0,1,1,1061,1061,749866,61120212349.0109
2016,M,Medium Vendor,PDuns,NULL,0,0,366,367,6,23025364.7500
2013,S,Always Small Vendor,PID,0,0,0,6,6,7,-19691.4000
2009,L,Large Vendor,PDuns,0,1,1,106,958,65106,3252266563.6707
2007,M,Medium Vendor,PDuns,NULL,0,0,417,417,32,-5500.4199
2003,J,Large: Big 5 JV,PID,0,1,1,7,7,332,2738189765.2300
2008,L,Large Vendor,PID,0,0,1,1,1,44,4801.4300
2007,M,Medium Vendor,PDuns,0,0,1,4808,4921,17640,137256588.4234
2012,S,Always Small Vendor,PID,NULL,1,1,10,10,0,579906.2102
2000,L,Large Vendor,PID,0,1,1,210,210,109075,63800281486.7822
2015,S,Always Small Vendor,PDuns,1,1,1,336,335,1058,239244936.1300
2006,J,Large: Big 5 JV,PID,0,1,1,9,9,482,4580287139.2402
2013,M,Medium Vendor,Duns,0,1,1,5,5,23,419009.2100
2003,N,Sometimes Small Vendor,PID,1,1,1,4,4,359,32347345.0000
2013,N,Sometimes Small Vendor,PDuns,NULL,0,0,11,13,0,0.0000
2010,J,Large: Big 5 JV,PID,1,1,1,2,2,31,60480767.6104
1995,J,Large: Big 5 JV,PID,NULL,1,1,1,1,32,231653159.0000
2014,N,Sometimes Small Vendor,PID,0,1,1,672,672,174556,37196272196.6600
2008,S,Always Small Vendor,PDuns,0,0,0,21974,22018,96734,124008946.4092
2002,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,56,40434717.0000
2005,N,Sometimes Small Vendor,PDuns,1,0,1,22,22,85,562647.6200
2012,U,Unlabeled Vendor,Name,0,1,1,3,2,3,-7739.6099
2016,M,Medium Vendor,PDuns,1,1,1,5302,5426,151147,5112936646.4996
2009,L,Large Vendor,PID,0,1,1,265,265,783276,185231648214.1364
2002,L,Large Vendor,PID,1,1,1,16,16,843,1709883035.3398
2009,M,Medium Vendor,PID,0,0,1,19,19,36,144249.7113
2007,L,Large Vendor,PID,0,1,1,252,252,816582,146906989699.5442
2006,S,Always Small Vendor,PDuns,0,0,0,26182,26218,111760,93464305.5666
2000,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,16,8893351.0000
2002,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1,2,33600.0000
2005,S,Always Small Vendor,PID,NULL,0,0,5,5,4,1400.0000
2011,S,Always Small Vendor,PDuns,0,0,1,28752,28820,75276,309597936.7552
2004,S,Always Small Vendor,PDuns,1,1,1,213,213,304,94924074.6267
2013,L,Large Vendor,PDuns,1,1,1,5,13,144,161217647.8000
2013,S,Always Small Vendor,PDuns,NULL,0,0,2092,2092,0,-38707.7100
2009,M,Medium Vendor,PDuns,1,0,1,1542,1557,6013,19574518.5277
2011,U,Unlabeled Vendor,Duns,1,1,1,2,1,2,36641.8398
2007,M,Medium Vendor,PID,NULL,0,0,2,2,0,0.0000
1991,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,97000.0000
1996,B,Big Five,PDuns,NULL,1,1,5,11,285,106524147.0000
2007,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,2,0,8000.0000
2003,S,Always Small Vendor,Duns,1,1,1,5,1,7,968349.0000
2012,N,Sometimes Small Vendor,PID,0,0,1,11,11,64,168091.3408
2001,S,Always Small Vendor,Duns,NULL,1,1,1,1,0,0.0000
2002,M,Medium Vendor,PDuns,NULL,1,1,322,341,916,205491786.4335
2012,N,Sometimes Small Vendor,PID,1,1,1,11,11,164,106881973.4750
2004,S,Always Small Vendor,Name,0,0,0,75,2,97,63976.0500
2016,L,Large Vendor,PID,1,1,1,18,18,8295,1736860394.4964
2004,N,Sometimes Small Vendor,Name,1,0,0,1,1,2,2314.9200
2016,N,Sometimes Small Vendor,PID,0,0,1,5,5,27,70360.2696
2015,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2000,N,Sometimes Small Vendor,PDuns,NULL,1,1,11,13,6,369198.2383
2005,M,Medium Vendor,PDuns,0,1,1,10351,11541,778727,16883180748.9906
2002,M,Medium Vendor,PDuns,0,0,1,2744,2768,7345,113713593.3589
1999,M,Medium Vendor,PDuns,NULL,0,0,41,41,60,-5355235.0000
1999,S,Always Small Vendor,PDuns,NULL,0,1,1527,1530,1655,36500638.0000
2006,L,Large Vendor,PID,0,1,1,246,246,725485,137768303845.7305
2008,L,Large Vendor,PDuns,1,0,0,1,4,1180,2590666.9889
1996,M,Medium Vendor,PDuns,NULL,0,0,43,43,57,-1731020.0000
2006,S,Always Small Vendor,Name,0,1,1,43,3,73,435918.9124
1992,M,Medium Vendor,PDuns,NULL,0,1,45,45,NULL,979816.0000
2014,S,Always Small Vendor,PDuns,1,1,1,347,347,4258,418483639.2200
2003,N,Sometimes Small Vendor,Name,0,1,1,2,1,5,1871603.0000
2016,J,Large: Big 5 JV,PID,0,1,1,13,13,4586,7882616438.4176
2006,S,Always Small Vendor,PDuns,NULL,0,1,893,893,1283,6502712.5917
2010,B,Big Five,PDuns,0,1,1,7,32,1028,206801470.3826
2007,S,Always Small Vendor,PDuns,0,0,0,23817,23856,117092,87507947.4443
2003,M,Medium Vendor,PID,NULL,0,0,3,3,0,0.0000
2011,S,Always Small Vendor,PDuns,1,1,1,334,339,987,283489072.8229
1999,S,Always Small Vendor,PID,NULL,0,1,10,10,10,281893.0000
2008,S,Always Small Vendor,Name,1,1,1,1,1,1,-11772.9199
1999,L,Large Vendor,PID,NULL,0,0,1,1,1,-30813.0000
2004,N,Sometimes Small Vendor,PDuns,1,1,1,77,79,851,74762886.0081
2003,N,Sometimes Small Vendor,PDuns,NULL,1,1,31,36,12,5600902.5925
2001,N,Sometimes Small Vendor,PDuns,0,0,0,15,15,60,80513.5399
2004,U,Unlabeled Vendor,Duns,1,0,0,15,2,17,42969.4400
2008,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,30000.0000
2003,U,Unlabeled Vendor,Name,0,0,0,41,1,52,19134.4199
2010,U,Unlabeled Vendor,Duns,1,0,0,1,1,1,-7083.5000
2006,M,Medium Vendor,PID,0,0,0,19,19,52,-232766.6791
2002,S,Always Small Vendor,PID,NULL,1,1,4,4,0,0.0000
2009,U,Unlabeled Vendor,Name,0,0,0,3,1,4,1807.2599
2007,L,Large Vendor,PDuns,0,1,1,113,908,93830,3117555404.1928
2015,U,Unlabeled Vendor,Duns,1,0,0,3,1,7,2047.5000
1999,J,Large: Big 5 JV,PID,NULL,1,1,5,5,149,1355152574.0000
2008,M,Medium Vendor,PID,0,0,0,14,14,19,1519184.0700
2001,N,Sometimes Small Vendor,PID,1,1,1,1,1,8,1270297.0000
1997,N,Sometimes Small Vendor,PID,NULL,1,1,391,391,31873,11847129501.0000
2003,S,Always Small Vendor,PID,0,0,0,37,37,52,-87296.0000
2003,M,Medium Vendor,PDuns,0,0,1,3558,3623,12731,151569456.3066
2009,L,Large Vendor,PDuns,NULL,0,0,1,3,47,2782945.2505
2007,U,Unlabeled Vendor,Name,0,0,0,4,2,6,-4153.8301
2013,M,Medium Vendor,PID,1,1,1,121,121,15703,1859609692.4700
2011,M,Medium Vendor,PDuns,1,0,0,733,733,2558,1828987.5240
2009,M,Medium Vendor,Duns,1,0,1,2,2,3,26587.5508
2003,N,Sometimes Small Vendor,PDuns,NULL,0,1,8,8,22,229732.4199
2014,L,Large Vendor,PDuns,1,1,1,6,19,535,22091024.8400
2014,M,Medium Vendor,PDuns,1,0,0,377,375,722,-257677.5400
2015,M,Medium Vendor,PID,1,0,1,12,12,25,40400.3800
2002,L,Large Vendor,PID,0,0,1,3,3,4,113459.0000
2011,M,Medium Vendor,Duns,1,0,1,2,2,2,6006.7998
2002,S,Always Small Vendor,PID,0,0,1,53,53,110,1318735.0000
2003,N,Sometimes Small Vendor,PDuns,0,0,0,167,183,678,614704.6900
2005,N,Sometimes Small Vendor,Name,1,1,1,1,1,4,62025.0000
2001,N,Sometimes Small Vendor,PDuns,NULL,0,1,5,5,7,72858.2595
2014,L,Large Vendor,PDuns,0,0,1,2,3,20,1752463.5400
2003,M,Medium Vendor,PDuns,1,1,1,4851,4894,27073,4823902276.9642
2015,S,Always Small Vendor,PID,NULL,0,0,4,4,NULL,2500.0000
1999,NULL,NULL,PID,NULL,NULL,NULL,1,1,45,22486306.0000
1998,M,Medium Vendor,PDuns,NULL,0,0,34,34,45,-2433945.0000
2008,L,Large Vendor,PDuns,0,1,1,93,1002,127162,2541551201.1092
2010,N,Sometimes Small Vendor,PDuns,0,0,1,2375,2571,16662,82837766.9287
2016,M,Medium Vendor,PDuns,0,0,1,4217,4255,19846,49597468.5559
2005,M,Medium Vendor,Duns,0,1,1,1,1,1,1588458.0000
1991,S,Always Small Vendor,PDuns,NULL,1,1,4563,4941,1,5817628873.0000
2011,L,Large Vendor,PDuns,0,0,0,2,4,12,290309.6874
2004,S,Always Small Vendor,Duns,0,1,1,24,3,67,4628234.7388
2005,N,Sometimes Small Vendor,PDuns,0,0,0,877,893,7221,5875980.7980
2013,S,Always Small Vendor,PDuns,1,0,0,36,36,53,-30136.2800
1995,S,Always Small Vendor,PDuns,NULL,0,1,625,626,671,10755966.0000
2003,B,Big Five,PID,0,1,1,5,5,48594,76305685922.5625
2006,N,Sometimes Small Vendor,PDuns,NULL,0,1,10,10,67,222735.0898
2004,S,Always Small Vendor,PDuns,NULL,1,1,3664,3668,5722,114757855.5966
2015,J,Large: Big 5 JV,PDuns,0,1,1,2,9,123,67484491.4400
2008,J,Large: Big 5 JV,PID,0,1,1,13,13,1161,6938885078.4247
2000,S,Always Small Vendor,PID,0,1,1,530,530,8973,2793312599.2781
2005,M,Medium Vendor,PDuns,1,0,0,2078,2079,4677,6451971.6804
2006,S,Always Small Vendor,Duns,1,0,1,1,1,1,13480.0000
2010,N,Sometimes Small Vendor,PID,1,1,1,10,10,1046,255333111.9537
2006,U,Unlabeled Vendor,Name,0,0,0,72,3,92,-32970.4402
1995,M,Medium Vendor,PID,NULL,1,1,231,231,8105,10293397084.0000
2011,M,Medium Vendor,PID,NULL,1,1,9,9,0,56127546.0000
2007,M,Medium Vendor,PID,1,0,0,1,1,1,2800.0801
2010,S,Always Small Vendor,Duns,0,1,1,8,5,15,192361.2860
2008,S,Always Small Vendor,PDuns,1,0,1,262,262,536,2595432.8989
2000,U,Unlabeled Vendor,Name,0,1,1,1,1,7,1530000.0000
2014,M,Medium Vendor,PDuns,0,1,1,12029,14568,964140,24252048494.1400
2001,S,Always Small Vendor,PDuns,NULL,1,1,1116,1116,125,23804792.3782
2001,S,Always Small Vendor,Name,NULL,1,1,1,1,0,778032.0000
2007,N,Sometimes Small Vendor,PID,0,0,1,8,8,61,225182.9900
2006,N,Sometimes Small Vendor,PDuns,0,0,0,1186,1225,15561,8433062.4814
2016,M,Medium Vendor,PDuns,NULL,1,1,1109,1115,348,163713345.1152
2011,M,Medium Vendor,PDuns,NULL,0,0,579,584,0,23085.4501
2001,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2012,M,Medium Vendor,PDuns,NULL,0,0,604,607,29,1090389.2332
2001,N,Sometimes Small Vendor,PDuns,1,0,1,1,1,2,54000.0000
2013,M,Medium Vendor,PDuns,1,1,1,5024,5116,65545,5201708005.6376
2008,N,Sometimes Small Vendor,PID,1,1,1,6,6,208,428833050.6946
2002,S,Always Small Vendor,PDuns,NULL,0,0,515,515,14,29101.6199
2012,S,Always Small Vendor,PDuns,0,1,1,62936,63587,1208301,49039506720.6879
2005,N,Sometimes Small Vendor,PDuns,NULL,0,1,62,62,238,1106954.7190
2009,M,Medium Vendor,PDuns,0,0,0,2801,2820,5411,7711006.6834
1990,M,Medium Vendor,PDuns,NULL,0,0,111,113,NULL,-9543000.0000
1987,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-171000.0000
2012,M,Medium Vendor,PID,0,0,1,24,24,58,163675.7408
2012,M,Medium Vendor,Duns,NULL,1,1,2,2,0,117895.4766
1993,M,Medium Vendor,PID,NULL,0,1,3,3,NULL,-75236.0000
2016,S,Always Small Vendor,PDuns,0,1,1,57413,58072,1031465,52160121800.8473
2006,N,Sometimes Small Vendor,PID,1,1,1,2,2,37,91300600.0701
2008,M,Medium Vendor,PDuns,NULL,1,1,991,995,29,111517317.5807
2015,M,Medium Vendor,PDuns,0,0,1,4223,4294,9159,139581887.7400
2004,S,Always Small Vendor,Name,0,1,1,32,3,67,1727213.1692
2006,N,Sometimes Small Vendor,Name,0,0,1,5,1,13,7478.8298
2010,L,Large Vendor,Duns,0,1,1,1,1,6843,227626029.6533
2015,N,Sometimes Small Vendor,PDuns,0,1,1,12744,18462,2217249,49218649824.2231
2009,M,Medium Vendor,PDuns,NULL,0,1,47,47,2,120039.7104
2014,M,Medium Vendor,PDuns,NULL,0,0,495,499,2,185844.9600
2011,B,Big Five,PDuns,0,0,1,1,23,223,11231229.7411
2014,S,Always Small Vendor,PDuns,0,0,0,7430,7430,18117,6623961.0700
2005,U,Unlabeled Vendor,Name,1,0,1,21,2,55,347154.5800
2013,M,Medium Vendor,PID,NULL,0,1,1,1,0,-225.0000
2007,S,Always Small Vendor,PDuns,1,0,1,277,277,542,2785234.0985
2011,M,Medium Vendor,Duns,0,0,0,1,1,1,0.0000
2008,N,Sometimes Small Vendor,PDuns,0,1,1,15177,24447,3168624,50417975183.8842
2004,M,Medium Vendor,PID,1,0,0,1,1,2,0.0000
2016,U,Unlabeled Vendor,Duns,1,1,1,17,1,38,355772.0137
2001,M,Medium Vendor,PDuns,NULL,1,1,207,207,84,103160267.0630
2013,S,Always Small Vendor,PID,0,1,1,234,234,30639,3545592129.1500
2005,S,Always Small Vendor,PDuns,1,0,1,75,75,112,791116.9690
2014,B,Big Five,PDuns,0,1,1,11,88,1870,182243449.1500
2016,N,Sometimes Small Vendor,PDuns,1,0,0,10,10,214,59453.8698
2012,N,Sometimes Small Vendor,PDuns,0,1,1,13545,21000,2377624,49916468068.4266
1996,M,Medium Vendor,PID,NULL,0,1,2,2,3,83471.0000
2006,M,Medium Vendor,PDuns,0,0,1,4842,4906,20310,115719499.9851
2004,L,Large Vendor,Duns,1,1,1,1,1,11570,200407795.0000
2007,S,Always Small Vendor,Duns,1,0,0,47,1,57,83307.6899
2003,N,Sometimes Small Vendor,PDuns,1,1,1,35,36,134,23510000.0000
2003,U,Unlabeled Vendor,Name,1,0,1,35,1,54,543543.0000
2010,L,Large Vendor,PDuns,NULL,1,1,1,14,7041,76510289.2028
2012,M,Medium Vendor,Duns,0,0,1,4,4,4,14000.0000
2006,M,Medium Vendor,PID,1,0,1,5,5,20,94899.5100
2014,S,Always Small Vendor,PDuns,NULL,0,1,137,137,0,508755.5700
2011,L,Large Vendor,PID,0,1,1,270,270,10248605,172172309136.9016
2004,M,Medium Vendor,PID,0,1,1,469,469,22730,13370935973.7268
2004,N,Sometimes Small Vendor,PID,NULL,1,1,2,2,0,17479792.7500
2006,N,Sometimes Small Vendor,Duns,0,0,1,2,1,7,-1345.3100
2013,J,Large: Big 5 JV,PDuns,0,1,1,1,2,25,2574091.3000
2004,N,Sometimes Small Vendor,PDuns,NULL,1,1,84,85,212,15524350.4435
2015,N,Sometimes Small Vendor,PDuns,1,0,0,5,5,105,77719.1600
2005,L,Large Vendor,PID,0,1,1,237,237,744927,123290341566.4059
2007,S,Always Small Vendor,Duns,0,1,1,19,2,43,1028600.1649
1999,M,Medium Vendor,PID,NULL,1,1,490,490,11799,7758988489.0000
2009,S,Always Small Vendor,Name,0,0,0,1,1,1,-244.6800
2002,S,Always Small Vendor,Duns,1,0,0,1,1,1,235.0000
2011,M,Medium Vendor,PID,0,0,1,21,21,67,419544.9708
2001,S,Always Small Vendor,PID,1,1,1,3,3,3,636000.0000
2007,U,Unlabeled Vendor,Name,1,0,1,5,1,11,45784.0702
2006,N,Sometimes Small Vendor,PDuns,1,1,1,244,251,4928,405874469.6812
2009,L,Large Vendor,Duns,1,1,1,1,1,8883,279001162.0227
2012,M,Medium Vendor,PDuns,0,1,1,13622,16217,2042527,21971232636.2748
2012,J,Large: Big 5 JV,PID,1,1,1,1,1,1,-214465.8125
2015,L,Large Vendor,Duns,1,1,1,1,1,3192,201264992.7300
2012,S,Always Small Vendor,PID,0,0,1,23,23,55,188165.2300
1989,S,Always Small Vendor,PDuns,NULL,0,0,8,8,NULL,-1726029.0000
2005,N,Sometimes Small Vendor,Duns,1,1,1,1,1,18,76619.5703
2006,L,Large Vendor,PDuns,0,1,1,70,747,41918,1195763049.9747
2008,S,Always Small Vendor,PID,0,0,0,22,22,74,69524.1398
2003,L,Large Vendor,PDuns,0,0,0,3,9,71,2550963.0000
2008,S,Always Small Vendor,Duns,0,0,0,19,1,21,29955.9900
2016,L,Large Vendor,PID,0,0,1,1,1,3,11747.4399
2006,N,Sometimes Small Vendor,PDuns,NULL,1,1,28,30,11,4767006.2401
1992,S,Always Small Vendor,PID,NULL,1,1,123,123,NULL,609613070.0000
2012,S,Always Small Vendor,PDuns,1,0,0,36,36,50,31731.4199
2011,S,Always Small Vendor,Name,0,1,1,2,1,3,129991.7207
2011,N,Sometimes Small Vendor,PID,1,0,1,1,1,2,8215.3901
2015,U,Unlabeled Vendor,Duns,1,1,1,24,1,71,20041861.6900
2007,M,Medium Vendor,PDuns,NULL,1,1,861,863,68,108957615.5262
2009,L,Large Vendor,PDuns,0,0,1,4,55,440,42750455.9503
2011,S,Always Small Vendor,PID,1,1,1,2,2,6,1190925.9844
2016,L,Large Vendor,PDuns,1,1,1,7,16,1167,132469503.2917
2004,J,Large: Big 5 JV,PID,1,1,1,2,2,14,43045590.0000
