fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
2013,U,Unlabeled Vendor,Duns,1,1,1,1,1,2,1664347.0400
2013,M,Medium Vendor,PID,NULL,1,1,12,12,0,0.0000
2004,U,Unlabeled Vendor,Duns,0,1,1,19,3,32,942146.0392
2005,M,Medium Vendor,PDuns,NULL,0,0,1165,1173,1912,6746421.0628
1989,M,Medium Vendor,PID,NULL,1,1,37,37,NULL,297765975.0000
2005,N,Sometimes Small Vendor,Name,0,0,1,46,3,210,637112.9597
2016,S,Always Small Vendor,PDuns,1,0,0,22,22,44,-192229.5398
2003,J,Large: Big 5 JV,PID,1,1,1,2,2,43,56198416.0000
2008,S,Always Small Vendor,Name,0,0,0,2,1,2,-1800.0000
2013,M,Medium Vendor,PID,0,0,0,15,15,43,-52392.0600
2010,M,Medium Vendor,PID,1,0,0,1,1,1,3717.2000
2010,S,Always Small Vendor,Duns,0,0,1,1,1,3,10637.5000
1997,N,Sometimes Small Vendor,PDuns,NULL,0,1,13,16,28,591973.0000
2014,M,Medium Vendor,PID,1,0,1,18,18,47,59486.4100
2016,S,Always Small Vendor,PID,0,1,1,206,206,6643,2802199614.8135
2013,M,Medium Vendor,PDuns,0,0,1,4434,4498,9094,157953937.8800
2003,M,Medium Vendor,PID,0,0,1,37,37,141,997130.2800
2014,S,Always Small Vendor,PDuns,NULL,1,1,6583,6599,47,135945895.7300
2010,N,Sometimes Small Vendor,PDuns,1,1,1,274,283,6080,631958504.8098
1994,S,Always Small Vendor,PID,NULL,1,1,158,158,1993,735804905.0000
2011,L,Large Vendor,PID,0,0,1,1,1,5,-46179.5303
2013,S,Always Small Vendor,PDuns,0,1,1,58718,59323,742528,45599006446.1425
2003,U,Unlabeled Vendor,Name,1,1,1,69,1,114,6413802.0000
2006,M,Medium Vendor,PDuns,NULL,1,1,724,725,504,85207768.0849
2004,N,Sometimes Small Vendor,PID,0,0,1,22,22,157,735480.1501
2006,N,Sometimes Small Vendor,PDuns,1,0,1,57,57,203,1089188.9298
2015,L,Large Vendor,PID,1,1,1,20,20,6943,3108222236.0100
2009,J,Large: Big 5 JV,PDuns,0,1,1,1,2,187,91726932.1707
2001,S,Always Small Vendor,PDuns,1,1,1,103,103,154,16629856.0000
2007,M,Medium Vendor,PID,0,0,1,25,25,61,337872.2097
2013,S,Always Small Vendor,Duns,NULL,0,1,2,2,0,6000.0000
2008,N,Sometimes Small Vendor,PID,0,0,1,16,16,263,516052.9035
2011,S,Always Small Vendor,Duns,1,0,1,4,4,5,40064.9995
2011,N,Sometimes Small Vendor,PDuns,1,0,0,3,3,12,16858.3699
1996,M,Medium Vendor,PID,NULL,1,1,263,263,6304,4813990304.0000
2009,L,Large Vendor,PID,NULL,0,0,1,1,0,0.0000
2002,M,Medium Vendor,PID,0,0,1,32,32,347,1660510.0000
2005,J,Large: Big 5 JV,PID,0,1,1,8,8,483,4506855595.5000
2014,J,Large: Big 5 JV,PID,0,1,1,13,13,3566,7763864566.6900
2009,M,Medium Vendor,PID,NULL,0,0,3,3,0,0.0000
2002,L,Large Vendor,Duns,1,1,1,1,1,153,125687663.0000
2012,L,Large Vendor,Duns,0,1,1,1,1,6046,263128250.6270
1995,N,Sometimes Small Vendor,PDuns,NULL,0,1,5,6,16,-1640722.0000
2008,L,Large Vendor,Duns,0,1,1,1,1,7075,267631727.5592
2011,N,Sometimes Small Vendor,Duns,0,1,1,6,5,155518,5370831576.7132
1992,B,Big Five,PID,NULL,1,1,6,6,4,18797646629.0000
2008,M,Medium Vendor,PDuns,0,0,1,4932,4987,12476,61618195.5484
2004,N,Sometimes Small Vendor,PDuns,0,0,1,1790,1944,18823,58289780.2398
2004,L,Large Vendor,PID,0,0,0,2,2,3,1581.6300
2015,S,Always Small Vendor,PDuns,NULL,1,1,5636,5640,83,161859286.4400
2000,N,Sometimes Small Vendor,PDuns,1,1,1,28,28,155,15581787.8125
2009,U,Unlabeled Vendor,Name,0,1,1,7,1,10,34153.6192
2011,S,Always Small Vendor,PID,0,0,1,22,22,30,152600.2006
2008,M,Medium Vendor,PDuns,1,1,1,4566,4657,94159,4718357610.5409
1995,S,Always Small Vendor,PID,NULL,0,1,2,2,2,-249020.0000
1997,S,Always Small Vendor,PDuns,NULL,0,1,1324,1327,1457,39566821.0000
2008,S,Always Small Vendor,PID,NULL,0,1,1,1,0,3000.0000
2009,N,Sometimes Small Vendor,Duns,0,1,1,5,4,254493,6861410722.2394
2014,N,Sometimes Small Vendor,PDuns,0,1,1,12002,18009,1900903,47775263855.5000
2016,M,Medium Vendor,PID,1,0,0,5,5,7,-67156.4000
2013,S,Always Small Vendor,Duns,0,0,0,2,2,2,-2568.4200
1996,S,Always Small Vendor,PDuns,NULL,1,1,17405,18418,62390,12433038658.0000
2000,N,Sometimes Small Vendor,PDuns,0,0,1,196,211,941,8474269.3000
2008,N,Sometimes Small Vendor,Duns,1,1,1,1,1,8,62163.0000
2002,M,Medium Vendor,PID,1,1,1,49,49,1232,875394560.2500
2009,N,Sometimes Small Vendor,PDuns,1,0,0,25,25,131,100845.9002
1998,M,Medium Vendor,PDuns,NULL,1,1,7141,8267,39215,10017848958.0000
2007,N,Sometimes Small Vendor,PID,1,1,1,4,4,2101,94009180.5100
2011,N,Sometimes Small Vendor,PDuns,0,1,1,14896,23229,2060995,53413448510.1094
2007,U,Unlabeled Vendor,Duns,0,0,0,27,3,31,44725.2902
2000,N,Sometimes Small Vendor,Duns,0,1,1,3,3,4793,1022261260.7891
1992,M,Medium Vendor,PDuns,NULL,1,1,3596,5431,3,9913577055.0000
2009,U,Unlabeled Vendor,Duns,0,1,1,3,2,3,-26681.2188
2015,S,Always Small Vendor,PID,0,0,1,16,16,27,79399.0800
2003,S,Always Small Vendor,Name,1,0,0,35,1,49,36463.0000
2006,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,1118754.0000
2014,S,Always Small Vendor,PID,0,1,1,226,226,30186,2971535523.5200
2009,M,Medium Vendor,PID,0,1,1,484,484,34783,9699592398.4899
2016,N,Sometimes Small Vendor,PID,1,1,1,2,2,42,745310.6114
2001,S,Always Small Vendor,PID,NULL,1,1,6,6,0,0.0000
2011,M,Medium Vendor,PDuns,0,0,1,6030,6103,13565,68756422.3891
2015,L,Large Vendor,PDuns,0,1,1,134,976,26074,2887042568.5100
2009,N,Sometimes Small Vendor,PDuns,NULL,0,0,28,29,0,5120.2200
2005,S,Always Small Vendor,Name,1,1,1,3,2,4,93419.9688
1996,N,Sometimes Small Vendor,PDuns,NULL,0,0,3,4,8,-1052996.0000
2003,U,Unlabeled Vendor,Duns,1,1,1,15,2,64,13907780.7266
2004,S,Always Small Vendor,PID,NULL,1,1,7,7,2,349439.3643
1996,N,Sometimes Small Vendor,PID,NULL,1,1,243,243,22632,9455859093.0000
2014,M,Medium Vendor,PID,0,0,0,11,11,28,-14571.5500
2002,S,Always Small Vendor,PDuns,0,0,1,13296,13327,31029,320342524.4880
1990,B,Big Five,PID,NULL,1,1,5,5,NULL,15869067707.0000
2001,M,Medium Vendor,PDuns,1,0,1,690,690,868,22215626.0000
2004,S,Always Small Vendor,PDuns,0,0,1,24686,24807,85879,522224458.9896
2008,U,Unlabeled Vendor,Duns,0,0,1,18,2,65,121717.7895
2003,L,Large Vendor,PDuns,1,0,1,1,1,2,5546.0000
2005,S,Always Small Vendor,PDuns,NULL,1,1,3575,3577,3898,129311079.4545
2000,S,Always Small Vendor,PDuns,NULL,0,1,45,45,49,416173.2085
2005,S,Always Small Vendor,Name,1,0,0,6,1,7,12214.0002
2015,N,Sometimes Small Vendor,PDuns,NULL,0,0,21,21,0,0.0000
1989,M,Medium Vendor,PDuns,NULL,1,1,306,1042,NULL,681605000.0000
1994,M,Medium Vendor,PDuns,NULL,0,0,46,46,69,-51043164.0000
2004,U,Unlabeled Vendor,Name,1,0,0,37,2,46,91900.8206
2008,S,Always Small Vendor,Duns,1,0,1,6,1,7,20194.0000
2016,S,Always Small Vendor,PID,NULL,0,0,2,2,0,0.0000
2007,M,Medium Vendor,PDuns,1,1,1,4531,4609,101659,4592277992.1038
2001,M,Medium Vendor,PID,NULL,0,0,3,3,0,0.0000
2005,U,Unlabeled Vendor,Duns,1,0,0,8,2,9,27595.2003
1998,M,Medium Vendor,PID,NULL,0,1,10,10,11,311881.0000
2011,N,Sometimes Small Vendor,PID,0,0,0,4,4,30,7420.8301
1999,B,Big Five,PDuns,NULL,1,1,4,22,154,185135721.0000
2006,L,Large Vendor,PID,1,0,0,1,1,2,-2090162.0000
2004,N,Sometimes Small Vendor,Duns,0,0,0,1,1,6,0.0000
2000,S,Always Small Vendor,PDuns,0,0,0,2062,2062,3903,-17574387.1421
2016,M,Medium Vendor,PID,NULL,0,0,5,5,0,0.0000
2005,S,Always Small Vendor,Duns,0,0,1,110,3,168,987284.0541
2014,S,Always Small Vendor,PDuns,1,0,1,92,92,126,547999.3400
1992,S,Always Small Vendor,PDuns,NULL,1,1,4652,28823,8,22245497647.0000
2006,S,Always Small Vendor,Name,1,0,0,1,1,1,35.6800
2005,U,Unlabeled Vendor,Name,0,0,0,402,2,788,647830.9590
2006,M,Medium Vendor,PID,NULL,0,1,2,2,3,-811.0000
2016,N,Sometimes Small Vendor,PDuns,NULL,0,0,2,3,0,0.0000
2005,U,Unlabeled Vendor,Name,0,1,1,117,3,231,15863140.2900
2010,L,Large Vendor,PDuns,1,1,1,5,15,267,53514435.6114
2004,B,Big Five,PDuns,0,1,1,4,8,203,40488521.9317
2013,N,Sometimes Small Vendor,PDuns,0,1,1,12754,19439,1665553,44594248249.3676
2013,M,Medium Vendor,PID,1,0,1,24,24,40,85630.8200
2007,S,Always Small Vendor,PDuns,NULL,0,1,456,456,93,1980903.7332
1993,B,Big Five,PID,NULL,1,1,6,6,36,16833823927.0000
2006,B,Big Five,PDuns,0,0,0,1,1,7,417582.1719
2002,S,Always Small Vendor,Name,0,1,1,2,2,2,65000.0000
2013,L,Large Vendor,PDuns,NULL,1,1,1,2,28,1983807.6200
2007,S,Always Small Vendor,PID,0,1,1,438,438,30442,3148526602.0572
2012,S,Always Small Vendor,PID,1,1,1,7,7,1617,31074783.7967
2013,N,Sometimes Small Vendor,PDuns,1,0,0,4,4,7,9079.6400
2016,L,Large Vendor,Duns,1,1,1,1,1,3561,149381104.3566
1990,J,Large: Big 5 JV,PID,NULL,1,1,1,1,NULL,103874000.0000
2007,S,Always Small Vendor,PDuns,0,1,1,59354,60211,1728842,42385998175.3876
2008,S,Always Small Vendor,Name,1,0,1,1,1,1,0.0000
2015,M,Medium Vendor,PID,NULL,0,1,1,1,0,0.0000
2003,S,Always Small Vendor,PDuns,0,1,1,37519,37914,270488,29110201815.2043
2006,U,Unlabeled Vendor,Duns,0,0,0,39,2,55,-33488.4200
2005,N,Sometimes Small Vendor,Duns,0,0,0,16,2,51,21340.5301
1999,B,Big Five,PID,NULL,1,1,5,5,21259,37961326457.0000
2007,U,Unlabeled Vendor,Duns,1,0,1,42,1,56,327490.0410
2014,U,Unlabeled Vendor,Duns,0,0,1,1,1,1,-19443.8500
1995,M,Medium Vendor,PDuns,NULL,0,0,62,62,88,-6551942.0000
1992,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,25509.0000
1999,L,Large Vendor,Duns,NULL,1,1,1,1,146,138402938.0000
2005,L,Large Vendor,PDuns,0,1,1,56,379,21638,1624062097.9887
2014,L,Large Vendor,PID,NULL,1,1,3,3,0,74450918.0000
1991,N,Sometimes Small Vendor,PDuns,NULL,0,0,3,5,NULL,-2072000.0000
2008,M,Medium Vendor,PID,1,0,1,4,4,5,19763.2200
1991,M,Medium Vendor,PDuns,NULL,0,1,27,27,NULL,861678.0000
2015,M,Medium Vendor,PDuns,1,1,1,5033,6393,145556,4842307947.9400
1990,M,Medium Vendor,PID,NULL,1,1,183,183,NULL,11932112493.0000
2009,U,Unlabeled Vendor,Duns,1,0,0,1,1,1,3333.1101
2003,U,Unlabeled Vendor,Duns,1,0,0,11,1,20,1024.0000
1994,M,Medium Vendor,PDuns,NULL,1,1,7814,9697,48805,15529443736.0000
2012,M,Medium Vendor,PDuns,1,0,0,619,615,1849,1037663.0007
1998,S,Always Small Vendor,PDuns,NULL,0,1,1387,1392,1571,46677696.0000
2003,U,Unlabeled Vendor,Name,NULL,1,1,1,1,1,44944.6602
2003,S,Always Small Vendor,PDuns,1,0,0,11,11,18,31749.0000
1998,S,Always Small Vendor,Duns,NULL,1,1,1,1,1,294364.0000
1999,N,Sometimes Small Vendor,PDuns,NULL,0,1,12,16,25,594025.0000
2010,S,Always Small Vendor,Name,0,1,1,3,2,3,147567.6802
1996,S,Always Small Vendor,PID,NULL,0,1,4,4,4,155686.0000
2002,L,Large Vendor,PDuns,NULL,1,1,1,4,116,8385852.0000
2008,S,Always Small Vendor,PDuns,NULL,0,1,259,259,31,824843.3607
2015,M,Medium Vendor,PID,0,0,0,7,7,21,14206.0400
2006,S,Always Small Vendor,Duns,0,0,0,119,5,152,61111.9499
2011,M,Medium Vendor,PID,1,1,1,121,121,45765,6082193426.6032
2009,M,Medium Vendor,PID,1,0,0,1,1,1,3245.2100
2006,M,Medium Vendor,PID,1,1,1,52,52,1513,3285426296.8209
2012,M,Medium Vendor,Duns,1,1,1,19,19,27,2349954.6285
2011,S,Always Small Vendor,PDuns,NULL,1,1,4311,4316,1,152140274.9484
2011,N,Sometimes Small Vendor,PDuns,NULL,0,0,18,19,0,0.0000
1989,L,Large Vendor,PID,NULL,1,1,33,33,NULL,250590000.0000
2006,M,Medium Vendor,PDuns,1,1,1,4061,4124,44169,5748629768.5498
2015,L,Large Vendor,PDuns,NULL,1,1,2,3,5,2700000.0000
2007,U,Unlabeled Vendor,Duns,0,0,1,22,2,28,174853.0118
2002,S,Always Small Vendor,PID,1,0,0,1,1,1,1000.0000
2015,S,Always Small Vendor,PID,1,1,1,3,3,2451,41323092.5900
2007,N,Sometimes Small Vendor,PDuns,0,1,1,14147,22574,3172829,42388526904.0561
2014,B,Big Five,PID,0,1,1,5,5,72810,88805189114.5800
2008,N,Sometimes Small Vendor,PDuns,NULL,0,0,13,14,0,5210.0000
2002,N,Sometimes Small Vendor,PID,0,0,1,9,9,66,472284.0000
2007,S,Always Small Vendor,PID,NULL,0,0,6,6,0,0.0000
2000,L,Large Vendor,PDuns,0,0,1,3,19,173,32206649.0000
2004,U,Unlabeled Vendor,Duns,1,1,1,23,2,40,2715122.9775
2013,M,Medium Vendor,PID,1,0,0,9,9,14,6065.3100
2016,L,Large Vendor,PDuns,0,1,1,140,892,122853,4965543822.9262
2003,S,Always Small Vendor,PID,0,1,1,587,587,16565,4059562697.2385
2014,S,Always Small Vendor,PDuns,1,0,0,21,21,26,349607.8000
1993,L,Large Vendor,PDuns,NULL,1,1,22,324,10,1347316692.0000
2004,N,Sometimes Small Vendor,PDuns,1,0,1,24,24,142,1263200.7595
2004,M,Medium Vendor,PID,0,0,1,32,32,148,802279.7748
2012,L,Large Vendor,PID,0,1,1,268,268,10798448,170383419330.4360
2010,U,Unlabeled Vendor,Duns,1,1,1,6,1,11,8610664.9609
2013,J,Large: Big 5 JV,PID,1,1,1,1,1,1,344031.7600
2005,S,Always Small Vendor,PID,NULL,1,1,9,9,35,745770.9688
2004,L,Large Vendor,PDuns,1,0,1,2,6,83,2568587.0000
2000,M,Medium Vendor,PID,NULL,0,0,3,3,0,0.0000
2003,L,Large Vendor,PID,NULL,0,0,1,1,0,0.0000
2008,L,Large Vendor,PID,1,1,1,20,20,786,4153206605.8304
2006,N,Sometimes Small Vendor,Duns,0,1,1,7,4,561783,8970668960.1985
2004,U,Unlabeled Vendor,Name,1,0,1,28,2,44,351325.6196
2000,N,Sometimes Small Vendor,PDuns,1,0,1,2,2,4,115995.0000
2010,M,Medium Vendor,PID,1,1,1,93,93,25441,5063854437.9534
2012,M,Medium Vendor,Duns,1,0,1,8,8,10,22351.4103
2008,M,Medium Vendor,PDuns,0,0,0,4052,4075,10495,16262874.4264
2005,L,Large Vendor,PID,0,0,1,2,2,7,84051.2202
1995,N,Sometimes Small Vendor,PID,NULL,1,1,162,162,13903,6442502200.0000
2013,S,Always Small Vendor,PID,1,1,1,7,7,204,7403440.8700
2007,S,Always Small Vendor,Duns,0,0,1,56,3,75,516094.1713
2007,M,Medium Vendor,Duns,0,1,1,2,2,3,56610.0000
2016,U,Unlabeled Vendor,Name,1,1,1,1,1,2,41146.6700
2004,N,Sometimes Small Vendor,PID,0,0,0,4,4,11,15669.0000
2012,J,Large: Big 5 JV,PID,0,1,1,12,12,2276,8195912766.3758
2006,S,Always Small Vendor,PDuns,NULL,1,1,3259,3260,890,119880014.7616
2001,M,Medium Vendor,PID,0,0,0,15,15,24,-1888309.1799
2013,N,Sometimes Small Vendor,PDuns,NULL,1,1,88,98,8,5471849.5800
2009,N,Sometimes Small Vendor,PID,0,1,1,985,985,429790,62900993514.3792
1998,S,Always Small Vendor,PID,NULL,0,0,1,1,1,-31300.0000
1991,S,Always Small Vendor,PDuns,NULL,0,1,65,65,NULL,-12494025.0000
2011,M,Medium Vendor,PID,1,0,1,31,31,51,412606.6220
2016,NULL,NULL,PID,NULL,NULL,NULL,1,1,743,89205756.1669
2010,U,Unlabeled Vendor,Name,0,1,1,1,1,1,0.0000
2013,S,Always Small Vendor,PID,0,0,1,20,20,26,33703.2600
2004,L,Large Vendor,PDuns,1,1,1,1,1,2,94530.0000
1998,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,7,3759749.0000
2004,M,Medium Vendor,PDuns,NULL,0,0,942,944,788,-20210206.9784
2000,U,Unlabeled Vendor,Duns,0,0,0,1,1,1,1.0000
1990,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,34000.0000
2007,N,Sometimes Small Vendor,Name,0,0,0,2,1,11,12095.6500
2006,S,Always Small Vendor,Duns,0,0,1,56,2,73,123372.5196
2006,S,Always Small Vendor,Duns,0,1,1,36,3,77,1309500.7486
2011,S,Always Small Vendor,PID,NULL,1,1,7,7,0,5430.0000
2001,M,Medium Vendor,PID,NULL,1,1,1,1,0,0.0000
2015,M,Medium Vendor,PDuns,NULL,1,1,1179,1189,25,99298083.6200
1989,S,Always Small Vendor,PID,NULL,1,1,13,13,NULL,3353000.0000
1997,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,1,2,1270.0000
2002,S,Always Small Vendor,Name,0,0,0,2,2,2,1158.0000
2006,L,Large Vendor,PDuns,1,1,1,1,1,33,28492948.9311
2006,U,Unlabeled Vendor,Name,0,1,1,44,3,82,2813058.5320
2009,M,Medium Vendor,PDuns,1,1,1,5089,5212,105919,5581346934.2918
2000,J,Large: Big 5 JV,PID,1,1,1,2,2,25,341557258.0000
2007,U,Unlabeled Vendor,Duns,0,1,1,18,3,36,1808231.0711
2004,S,Always Small Vendor,PDuns,1,0,1,66,66,118,781793.6893
1990,L,Large Vendor,PDuns,NULL,1,1,29,18263,NULL,12190687236.0000
2007,M,Medium Vendor,PID,1,1,1,62,62,6578,3123378353.7089
2003,M,Medium Vendor,PID,NULL,1,1,6,6,1,1864647.0000
1990,S,Always Small Vendor,PDuns,NULL,0,0,107,107,NULL,-22822000.0000
2012,N,Sometimes Small Vendor,PDuns,NULL,0,0,18,22,0,0.0000
2012,S,Always Small Vendor,PID,NULL,0,1,2,2,0,-389.0800
2013,B,Big Five,PDuns,0,1,1,8,28,302,16470998.2000
2003,U,Unlabeled Vendor,Name,0,1,1,48,2,78,6034886.8399
2008,M,Medium Vendor,PID,0,1,1,430,430,29548,33052781705.0618
2016,S,Always Small Vendor,PDuns,NULL,0,0,1071,1071,0,-2222.9504
2012,S,Always Small Vendor,PID,0,0,0,11,11,12,2983.0400
2013,S,Always Small Vendor,PDuns,1,1,1,342,343,4614,279814384.1300
2010,N,Sometimes Small Vendor,PDuns,0,1,1,15547,24363,1701149,55529249236.3580
2000,S,Always Small Vendor,PDuns,1,0,0,8,8,12,-54000.0000
2004,U,Unlabeled Vendor,Duns,0,0,1,21,2,28,128341.3003
2002,M,Medium Vendor,PDuns,1,0,0,185,185,716,-4319978.0100
2015,S,Always Small Vendor,PDuns,1,0,1,74,74,134,535241.6500
2014,M,Medium Vendor,PID,0,1,1,525,525,129142,27215320002.0300
2001,L,Large Vendor,PDuns,0,1,1,47,226,4501,1116842179.9498
2010,M,Medium Vendor,PID,0,0,0,15,15,26,105814.3198
2011,M,Medium Vendor,PDuns,1,1,1,5451,5555,114115,5969110980.9666
2008,L,Large Vendor,PID,NULL,1,1,1,1,0,0.0000
2002,N,Sometimes Small Vendor,PID,0,1,1,769,769,94170,28017034922.7159
2013,N,Sometimes Small Vendor,PDuns,1,1,1,190,199,3210,404997006.8200
2008,B,Big Five,PID,0,1,1,5,5,88485,113022135846.4676
1995,M,Medium Vendor,PDuns,NULL,1,1,8340,9982,51762,14927612883.0000
1992,L,Large Vendor,PID,NULL,1,1,120,120,8,42232116460.0000
2000,L,Large Vendor,PID,0,0,1,5,5,5,124478.0000
2000,S,Always Small Vendor,Duns,0,1,1,2,1,0,0.0000
2015,L,Large Vendor,PID,0,1,1,245,245,11022284,134985284729.2050
2008,S,Always Small Vendor,PID,NULL,0,0,3,3,1,0.0000
2016,S,Always Small Vendor,Duns,NULL,0,0,1,1,0,0.0000
2000,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1,3,8825.0000
2009,S,Always Small Vendor,PID,1,1,1,1,1,2,2192481.0000
2004,L,Large Vendor,PDuns,0,0,0,2,4,17,136203.0000
1990,N,Sometimes Small Vendor,PDuns,NULL,1,1,1889,4580,NULL,12429230708.0000
1993,M,Medium Vendor,PDuns,NULL,0,0,27,27,NULL,-3369148.0000
2009,M,Medium Vendor,PDuns,NULL,1,1,1014,1058,66,160726754.6725
2014,S,Always Small Vendor,Duns,NULL,0,0,1,1,0,0.0000
2003,S,Always Small Vendor,PDuns,NULL,0,0,904,904,189,134703.2502
2009,S,Always Small Vendor,PDuns,NULL,0,0,3718,3718,2,156594.3495
2000,S,Always Small Vendor,PDuns,0,1,1,29190,29417,140588,19653890202.6409
2003,N,Sometimes Small Vendor,Name,0,0,1,1,1,7,31899.0000
2006,S,Always Small Vendor,Name,1,1,1,1,1,1,-2766.4099
2012,S,Always Small Vendor,Duns,0,1,1,7,7,11,308832.0957
2016,N,Sometimes Small Vendor,PDuns,0,0,1,1431,1503,10297,29209547.0709
2000,M,Medium Vendor,PDuns,NULL,0,0,377,379,85,66418.0600
2003,N,Sometimes Small Vendor,PDuns,1,0,0,1,1,5,-1172.0000
2015,NULL,NULL,PID,NULL,NULL,NULL,1,1,368,154292504.6800
2015,S,Always Small Vendor,PID,NULL,1,1,8,8,0,429576.0000
2004,U,Unlabeled Vendor,Name,0,0,0,81,2,111,116197.0589
1996,L,Large Vendor,PID,NULL,1,1,159,159,49271,38260363376.0000
2010,S,Always Small Vendor,PDuns,0,0,0,14073,14094,38491,75872219.8212
2002,L,Large Vendor,PID,1,0,1,1,1,1,26193.0000
1989,M,Medium Vendor,PDuns,NULL,0,0,9,9,NULL,921000.0000
2001,U,Unlabeled Vendor,Name,0,1,1,2,2,2,564482.3125
2009,L,Large Vendor,PDuns,1,1,1,6,36,1066,153918716.2530
1998,L,Large Vendor,PID,NULL,1,1,182,182,57166,27639479282.0000
2001,M,Medium Vendor,PDuns,0,0,1,2196,2206,4743,66486077.2698
2003,N,Sometimes Small Vendor,Duns,0,1,1,5,4,2293,879662978.5211
2005,S,Always Small Vendor,Name,0,0,0,610,3,848,600860.3891
2010,U,Unlabeled Vendor,Duns,0,0,1,1,1,1,0.0000
2006,L,Large Vendor,PID,1,1,1,16,16,1566,3440948327.0944
2010,S,Always Small Vendor,PDuns,NULL,0,1,194,194,0,544527.5015
2004,N,Sometimes Small Vendor,PDuns,0,0,0,436,450,3389,2527493.9203
2001,M,Medium Vendor,PID,1,1,1,39,39,732,527413941.0000
2000,N,Sometimes Small Vendor,PDuns,0,0,0,15,15,51,-1468958.0000
2001,S,Always Small Vendor,PID,NULL,0,0,3,3,2,0.0000
2006,M,Medium Vendor,PID,NULL,1,1,13,13,2,24287300.3789
2004,U,Unlabeled Vendor,Name,1,1,1,52,2,76,4354241.1574
1994,S,Always Small Vendor,PDuns,NULL,0,1,464,464,519,6457892.0000
2006,S,Always Small Vendor,PID,1,1,1,1,1,2,1055000.0000
2012,S,Always Small Vendor,PDuns,NULL,0,0,2087,2087,2,21834.5903
2003,S,Always Small Vendor,PID,1,0,0,4,4,7,446.0000
